file,label,game_idx,swapped,result,total_moves,last_book_ply,book_time_white,book_time_black,opening_phase_time_white,opening_phase_time_black,opening_phase_plies
metrics_minimax_trad_d4_book_on_g14_orig.jsonl,minimax_trad_d4_book_on,14,False,0-1,96,24,0.003,0.002,0.002,0.002,20
metrics_minimax_trad_d4_book_on_g15_orig.jsonl,minimax_trad_d4_book_on,15,False,1/2-1/2,105,30,0.004,0.004,0.003,0.003,20
metrics_minimax_trad_d4_book_on_g16_orig.jsonl,minimax_trad_d4_book_on,16,False,0-1,126,30,0.003,0.002,0.002,0.002,20
metrics_minimax_trad_d4_book_on_g17_orig.jsonl,minimax_trad_d4_book_on,17,False,1-0,131,30,0.002,0.003,0.002,0.002,20
metrics_minimax_trad_d4_book_on_g18_orig.jsonl,minimax_trad_d4_book_on,18,False,1/2-1/2,106,23,0.003,0.002,0.002,0.002,20
metrics_minimax_trad_d4_book_on_g19_orig.jsonl,minimax_trad_d4_book_on,19,False,1/2-1/2,89,30,0.002,0.003,0.002,0.001,20
metrics_minimax_trad_d4_book_on_g1_orig.jsonl,minimax_trad_d4_book_on,1,False,0-1,160,30,0.01,0.009,0.008,0.006,20
metrics_minimax_trad_d4_book_on_g20_orig.jsonl,minimax_trad_d4_book_on,20,False,0-1,100,27,0.002,0.002,0.002,0.002,20
metrics_minimax_trad_d4_book_on_g21_swap.jsonl,minimax_trad_d4_book_on,21,True,1-0,113,21,0.003,0.001,0.003,0.001,20
metrics_minimax_trad_d4_book_on_g22_swap.jsonl,minimax_trad_d4_book_on,22,True,1/2-1/2,148,30,0.002,0.002,0.001,0.001,20
metrics_minimax_trad_d4_book_on_g23_swap.jsonl,minimax_trad_d4_book_on,23,True,1/2-1/2,120,26,0.002,0.001,0.001,0.001,20
metrics_minimax_trad_d4_book_on_g24_swap.jsonl,minimax_trad_d4_book_on,24,True,1-0,97,25,0.002,0.002,0.002,0.002,20
metrics_minimax_trad_d4_book_on_g25_swap.jsonl,minimax_trad_d4_book_on,25,True,1/2-1/2,78,22,0.002,0.002,0.002,0.002,20
metrics_minimax_trad_d4_book_on_g26_swap.jsonl,minimax_trad_d4_book_on,26,True,1-0,65,28,0.003,0.002,0.002,0.001,20
metrics_minimax_trad_d4_book_on_g27_swap.jsonl,minimax_trad_d4_book_on,27,True,0-1,138,30,0.004,0.003,0.002,0.002,20
metrics_minimax_trad_d4_book_on_g28_swap.jsonl,minimax_trad_d4_book_on,28,True,0-1,46,19,0.002,0.001,0.002,1.125,20
metrics_minimax_trad_d4_book_on_g29_swap.jsonl,minimax_trad_d4_book_on,29,True,1/2-1/2,75,26,0.002,0.002,0.002,0.002,20
metrics_minimax_trad_d4_book_on_g2_orig.jsonl,minimax_trad_d4_book_on,2,False,1-0,135,30,0.007,0.006,0.005,0.003,20
metrics_minimax_trad_d4_book_on_g30_swap.jsonl,minimax_trad_d4_book_on,30,True,1-0,125,30,0.003,0.002,0.002,0.001,20
metrics_minimax_trad_d4_book_on_g31_swap.jsonl,minimax_trad_d4_book_on,31,True,1/2-1/2,80,26,0.003,0.001,0.002,0.001,20
metrics_minimax_trad_d4_book_on_g32_swap.jsonl,minimax_trad_d4_book_on,32,True,1/2-1/2,64,17,0.001,0.001,0.929,1.43,20
metrics_minimax_trad_d4_book_on_g33_swap.jsonl,minimax_trad_d4_book_on,33,True,0-1,116,25,0.002,0.003,0.002,0.002,20
metrics_minimax_trad_d4_book_on_g34_swap.jsonl,minimax_trad_d4_book_on,34,True,1/2-1/2,93,30,0.003,0.002,0.001,0.001,20
metrics_minimax_trad_d4_book_on_g35_swap.jsonl,minimax_trad_d4_book_on,35,True,0-1,130,22,0.002,0.002,0.002,0.002,20
metrics_minimax_trad_d4_book_on_g36_swap.jsonl,minimax_trad_d4_book_on,36,True,1/2-1/2,81,28,0.003,0.002,0.002,0.002,20
metrics_minimax_trad_d4_book_on_g37_swap.jsonl,minimax_trad_d4_book_on,37,True,1/2-1/2,76,23,0.002,0.001,0.002,0.001,20
metrics_minimax_trad_d4_book_on_g38_swap.jsonl,minimax_trad_d4_book_on,38,True,1-0,125,30,0.002,0.002,0.001,0.001,20
metrics_minimax_trad_d4_book_on_g39_swap.jsonl,minimax_trad_d4_book_on,39,True,1/2-1/2,94,29,0.002,0.002,0.002,0.001,20
metrics_minimax_trad_d4_book_on_g3_orig.jsonl,minimax_trad_d4_book_on,3,False,0-1,142,25,0.005,0.004,0.004,0.004,20
metrics_minimax_trad_d4_book_on_g40_swap.jsonl,minimax_trad_d4_book_on,40,True,1/2-1/2,84,29,0.002,0.002,0.002,0.002,20
metrics_minimax_trad_d4_book_on_g4_orig.jsonl,minimax_trad_d4_book_on,4,False,1/2-1/2,88,23,0.004,0.004,0.003,0.003,20
metrics_minimax_trad_d4_book_on_g5_orig.jsonl,minimax_trad_d4_book_on,5,False,0-1,84,17,0.002,0.002,0.97,4.932,20
metrics_minimax_trad_d4_book_on_g6_orig.jsonl,minimax_trad_d4_book_on,6,False,1/2-1/2,145,27,0.006,0.003,0.004,0.003,20
metrics_minimax_trad_d4_book_on_g7_orig.jsonl,minimax_trad_d4_book_on,7,False,1/2-1/2,105,21,0.003,0.002,0.002,0.002,20
metrics_minimax_trad_d4_book_on_g8_orig.jsonl,minimax_trad_d4_book_on,8,False,1-0,137,23,0.004,0.002,0.003,0.002,20
metrics_minimax_trad_d4_book_on_g9_orig.jsonl,minimax_trad_d4_book_on,9,False,1-0,77,14,0.002,0.002,1.905,2.163,20
